Item01,Item02,Item03,Item04,Item06,Item08,Item11
1,1,0,1,1,0,0
1,1,0,1,1,0,1
1,1,0,1,1,0,0
1,1,1,1,1,0,0
1,1,0,0,1,1,1
1,1,1,1,1,1,0
1,1,0,1,0,1,0
1,1,1,1,1,1,0
1,1,1,1,1,0,0
1,0,0,1,1,1,0
1,1,0,1,1,0,1
0,0,1,1,1,0,0
1,1,1,1,1,0,1
1,1,0,1,0,0,0
1,1,1,1,1,1,0
1,1,0,1,1,0,0
1,1,0,1,0,0,0
1,1,0,1,1,0,1
1,1,0,1,1,1,0
1,0,0,1,0,0,0
1,0,0,1,1,0,0
1,1,0,1,0,0,0
1,0,0,1,0,0,0
1,1,1,1,1,0,1
1,1,0,1,1,1,0
1,1,0,1,1,0,0
1,0,0,1,0,0,0
1,0,1,1,1,0,0
0,0,0,1,0,0,0
0,0,0,0,0,0,0
1,1,0,1,1,0,0
1,0,1,1,1,1,0
1,0,0,1,0,0,0
1,0,0,1,0,0,0
1,0,0,1,1,1,0
1,0,0,1,1,0,0
1,1,1,1,1,0,0
1,0,0,1,0,0,0
1,0,0,0,0,1,1
0,0,0,0,0,0,1
1,1,1,0,0,0,0
1,0,0,1,0,0,0
0,0,0,1,0,0,1
0,0,0,0,0,0,0
1,1,1,0,0,1,1
0,1,1,1,0,0,0
1,1,0,1,0,1,1
1,0,0,1,0,0,0
1,1,0,1,1,0,0
1,0,0,1,0,0,0
1,1,1,1,0,0,1
1,0,0,1,0,0,1
1,0,0,1,0,0,1
1,1,1,1,0,1,0
1,1,0,1,1,0,1
1,1,0,1,1,0,0
1,1,1,1,1,0,0
1,1,0,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,0,0
1,1,1,1,1,1,1
0,0,1,1,0,0,1
0,1,0,1,0,0,0
0,1,1,0,1,0,0
0,0,0,0,0,0,0
1,1,1,1,1,0,0
0,1,1,0,1,0,0
0,0,0,1,0,0,0
1,1,0,1,0,0,1
1,1,1,1,1,1,0
0,0,0,0,0,0,1
0,1,0,1,0,0,0
1,1,0,1,1,0,0
1,1,0,1,1,0,0
1,1,0,1,1,0,0
1,0,0,1,0,0,1
1,1,1,1,1,0,1
1,1,1,1,1,0,0
1,1,0,1,0,0,1
1,0,0,0,1,0,1
1,1,1,1,1,0,0
1,1,0,1,0,0,0
1,1,0,1,1,0,0
1,1,0,1,0,0,0
1,1,0,1,0,1,0
1,1,0,0,1,0,0
1,1,0,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,0,1
0,1,1,1,0,0,0
1,1,0,1,1,0,0
1,1,1,1,0,0,0
1,1,0,0,0,0,0
1,1,1,1,1,0,0
1,0,1,1,0,0,0
0,1,0,1,0,1,0
1,0,1,1,0,0,1
1,1,1,1,0,0,0
1,0,0,1,0,0,0
1,1,1,1,0,0,0
1,1,0,1,1,0,0
1,1,1,1,1,0,0
1,1,1,1,0,0,0
0,1,0,0,0,0,0
0,1,1,1,0,0,0
1,1,0,1,1,1,1
1,1,1,1,0,0,0
0,0,0,1,1,0,0
1,0,0,1,1,0,1
1,1,0,1,1,0,1
0,0,0,0,0,0,0
1,1,0,1,1,0,1
1,1,0,1,1,1,1
1,1,1,1,1,0,0
0,0,0,1,1,0,0
